Search Query	 || 		Document with keyword	 || 	"total documents/appeared documents"	 || 	"log_10(N)"

Canada			 || 			67.0				 || 			9.388059701492537				 || 	0.9725758427444425
Moncton			 || 			12.0				 || 			52.416666666666664				 || 	1.719469399397644
Toronto			 || 			34.0				 || 			18.5							 || 	1.2671717284030137


Canada Appeared in 67 Documents	 || 	Total Words		 || 		Frequency

ARTICLE#193						 || 			35		 || 			1
ARTICLE#194						 || 			31		 || 			1
ARTICLE#195						 || 			87		 || 			0
ARTICLE#196						 || 			102		 || 			0
ARTICLE#197						 || 			108		 || 			0
ARTICLE#198						 || 			108		 || 			0
ARTICLE#199						 || 			93		 || 			0
ARTICLE#200						 || 			105		 || 			0
ARTICLE#201						 || 			72		 || 			0
ARTICLE#202						 || 			29		 || 			1
ARTICLE#203						 || 			30		 || 			1
ARTICLE#204						 || 			96		 || 			0
ARTICLE#205						 || 			30		 || 			1
ARTICLE#206						 || 			30		 || 			2
ARTICLE#207						 || 			99		 || 			0
ARTICLE#208						 || 			35		 || 			1
ARTICLE#209						 || 			96		 || 			0
ARTICLE#210						 || 			105		 || 			0
ARTICLE#211						 || 			99		 || 			0
ARTICLE#212						 || 			96		 || 			0
ARTICLE#213						 || 			102		 || 			0
ARTICLE#214						 || 			108		 || 			0
ARTICLE#215						 || 			93		 || 			0
ARTICLE#216						 || 			108		 || 			0
ARTICLE#217						 || 			72		 || 			0
ARTICLE#218						 || 			90		 || 			0
ARTICLE#219						 || 			96		 || 			0
ARTICLE#220						 || 			102		 || 			0
ARTICLE#221						 || 			99		 || 			0
ARTICLE#222						 || 			105		 || 			0
ARTICLE#223						 || 			96		 || 			0
ARTICLE#224						 || 			108		 || 			0
ARTICLE#225						 || 			84		 || 			0
ARTICLE#226						 || 			87		 || 			0
ARTICLE#227						 || 			117		 || 			0
ARTICLE#228						 || 			96		 || 			0
ARTICLE#229						 || 			99		 || 			0
ARTICLE#230						 || 			111		 || 			0
ARTICLE#231						 || 			96		 || 			0
ARTICLE#232						 || 			105		 || 			0
ARTICLE#233						 || 			90		 || 			0
ARTICLE#234						 || 			105		 || 			0
